country,date,accumulated_confirmed,increase_of_confirmed
Canada,2020-03-14,198,5
Canada,2020-03-15,252,54
Canada,2020-03-16,415,163
Canada,2020-03-17,478,63
Canada,2020-03-18,657,179
Canada,2020-03-19,800,143
Canada,2020-03-20,943,143
Canada,2020-03-21,1277,334
Canada,2020-03-22,1469,192
Canada,2020-03-23,2088,619
Canada,2020-03-24,2790,702
Canada,2020-03-25,3251,461
Canada,2020-03-26,4042,791
Canada,2020-03-27,4682,640
Central African Republic,2020-03-01,0,0
Central African Republic,2020-03-02,0,0
Central African Republic,2020-03-03,0,0
Central African Republic,2020-03-04,0,0
Central African Republic,2020-03-05,0,0
Central African Republic,2020-03-06,0,0
Central African Republic,2020-03-07,0,0
Central African Republic,2020-03-08,0,0
Central African Republic,2020-03-09,0,0
Central African Republic,2020-03-10,0,0
Central African Republic,2020-03-11,0,0
Central African Republic,2020-03-12,0,0
Central African Republic,2020-03-13,0,0
Central African Republic,2020-03-14,0,0
Central African Republic,2020-03-15,1,1
Central African Republic,2020-03-16,1,0
Central African Republic,2020-03-17,1,0
Central African Republic,2020-03-18,1,0
Central African Republic,2020-03-19,1,0
Central African Republic,2020-03-20,3,2
Central African Republic,2020-03-21,3,0
Central African Republic,2020-03-22,3,0
Central African Republic,2020-03-23,3,0
Central African Republic,2020-03-24,3,0
Central African Republic,2020-03-25,3,0
Central African Republic,2020-03-26,3,0
Central African Republic,2020-03-27,3,0
Chad,2020-03-01,0,0
Chad,2020-03-02,0,0
Chad,2020-03-03,0,0
Chad,2020-03-04,0,0
Chad,2020-03-05,0,0
Chad,2020-03-06,0,0
Chad,2020-03-07,0,0
Chad,2020-03-08,0,0
Chad,2020-03-09,0,0
Chad,2020-03-10,0,0
Chad,2020-03-11,0,0
Chad,2020-03-12,0,0
Chad,2020-03-13,0,0
Chad,2020-03-14,0,0
Chad,2020-03-15,0,0
Chad,2020-03-16,0,0
Chad,2020-03-17,0,0
Chad,2020-03-18,0,0
Chad,2020-03-19,1,1
Chad,2020-03-20,1,0
Chad,2020-03-21,1,0
Chad,2020-03-22,1,0
Chad,2020-03-23,1,0
Chad,2020-03-24,3,2
Chad,2020-03-25,3,0
Chad,2020-03-26,3,0
Chad,2020-03-27,3,0
Chile,2020-03-01,0,0
Chile,2020-03-02,0,0
Chile,2020-03-03,1,1
Chile,2020-03-04,1,0
Chile,2020-03-05,4,3
Chile,2020-03-06,4,0
Chile,2020-03-07,4,0
Chile,2020-03-08,8,4
Chile,2020-03-09,8,0
Chile,2020-03-10,13,5
Chile,2020-03-11,23,10
Chile,2020-03-12,23,0
Chile,2020-03-13,43,20
Chile,2020-03-14,61,18
Chile,2020-03-15,74,13
Chile,2020-03-16,155,81
Chile,2020-03-17,201,46
Chile,2020-03-18,238,37
Chile,2020-03-19,238,0
Chile,2020-03-20,434,196
Chile,2020-03-21,537,103
Chile,2020-03-22,632,95
Chile,2020-03-23,746,114
Chile,2020-03-24,922,176
Chile,2020-03-25,1142,220
Chile,2020-03-26,1306,164
Chile,2020-03-27,1610,304
China,2020-03-01,79932,0
China,2020-03-02,80136,204
China,2020-03-03,80261,125
China,2020-03-04,80386,125
China,2020-03-05,80537,151
China,2020-03-06,80690,153
China,2020-03-07,80770,80
China,2020-03-08,80823,53
China,2020-03-09,80860,37
China,2020-03-10,80887,27
China,2020-03-11,80921,34
China,2020-03-12,80932,11
China,2020-03-13,80945,13
China,2020-03-14,80977,32
China,2020-03-15,81003,26
China,2020-03-16,81033,30
China,2020-03-17,81058,25
China,2020-03-18,81102,44
China,2020-03-19,81156,54
China,2020-03-20,81250,94
China,2020-03-21,81305,55
China,2020-03-22,81435,130
China,2020-03-23,81498,63
China,2020-03-24,81591,93
China,2020-03-25,81661,70
China,2020-03-26,81782,121
China,2020-03-27,81897,115
Colombia,2020-03-01,0,0
Colombia,2020-03-02,0,0
Colombia,2020-03-03,0,0
Colombia,2020-03-04,0,0
Colombia,2020-03-05,0,0
Colombia,2020-03-06,1,1
Colombia,2020-03-07,1,0
Colombia,2020-03-08,1,0
Colombia,2020-03-09,1,0
Colombia,2020-03-10,3,2
Colombia,2020-03-11,9,6
Colombia,2020-03-12,9,0
Colombia,2020-03-13,13,4
Colombia,2020-03-14,22,9
Colombia,2020-03-15,34,12
Colombia,2020-03-16,54,20
Colombia,2020-03-17,65,11
Colombia,2020-03-18,93,28
Colombia,2020-03-19,102,9
Colombia,2020-03-20,128,26
Colombia,2020-03-21,196,68
Colombia,2020-03-22,231,35
Colombia,2020-03-23,277,46
Colombia,2020-03-24,378,101
Colombia,2020-03-25,470,92
Colombia,2020-03-26,491,21
Colombia,2020-03-27,539,48
Congo (Brazzaville),2020-03-01,0,0
Congo (Brazzaville),2020-03-02,0,0
Congo (Brazzaville),2020-03-03,0,0
Congo (Brazzaville),2020-03-04,0,0
Congo (Brazzaville),2020-03-05,0,0
Congo (Brazzaville),2020-03-06,0,0
Congo (Brazzaville),2020-03-07,0,0
Congo (Brazzaville),2020-03-08,0,0
Congo (Brazzaville),2020-03-09,0,0
Congo (Brazzaville),2020-03-10,0,0
Congo (Brazzaville),2020-03-11,0,0
Congo (Brazzaville),2020-03-12,0,0
Congo (Brazzaville),2020-03-13,0,0
Congo (Brazzaville),2020-03-14,0,0
Congo (Brazzaville),2020-03-15,1,1
Congo (Brazzaville),2020-03-16,1,0
Congo (Brazzaville),2020-03-17,1,0
Congo (Brazzaville),2020-03-18,1,0
Congo (Brazzaville),2020-03-19,3,2
Congo (Brazzaville),2020-03-20,3,0
Congo (Brazzaville),2020-03-21,3,0
Congo (Brazzaville),2020-03-22,3,0
Congo (Brazzaville),2020-03-23,4,1
Congo (Brazzaville),2020-03-24,4,0
Congo (Brazzaville),2020-03-25,4,0
Congo (Brazzaville),2020-03-26,4,0
Congo (Brazzaville),2020-03-27,4,0
Congo (Kinshasa),2020-03-01,0,0
Congo (Kinshasa),2020-03-02,0,0
Congo (Kinshasa),2020-03-03,0,0
Congo (Kinshasa),2020-03-04,0,0
Congo (Kinshasa),2020-03-05,0,0
Congo (Kinshasa),2020-03-06,0,0
Congo (Kinshasa),2020-03-07,0,0
Congo (Kinshasa),2020-03-08,0,0
Congo (Kinshasa),2020-03-09,0,0
Congo (Kinshasa),2020-03-10,0,0
Congo (Kinshasa),2020-03-11,1,1
Congo (Kinshasa),2020-03-12,1,0
Congo (Kinshasa),2020-03-13,2,1
Congo (Kinshasa),2020-03-14,2,0
Congo (Kinshasa),2020-03-15,2,0
Congo (Kinshasa),2020-03-16,2,0
Congo (Kinshasa),2020-03-17,3,1
Congo (Kinshasa),2020-03-18,4,1
Congo (Kinshasa),2020-03-19,14,10
Congo (Kinshasa),2020-03-20,18,4
Congo (Kinshasa),2020-03-21,23,5
Congo (Kinshasa),2020-03-22,30,7
Congo (Kinshasa),2020-03-23,36,6
Congo (Kinshasa),2020-03-24,45,9
Congo (Kinshasa),2020-03-25,48,3
Congo (Kinshasa),2020-03-26,51,3
Congo (Kinshasa),2020-03-27,51,0
Costa Rica,2020-03-01,0,0
Costa Rica,2020-03-02,0,0
Costa Rica,2020-03-03,0,0
Costa Rica,2020-03-04,0,0
Costa Rica,2020-03-05,0,0
Costa Rica,2020-03-06,1,1
Costa Rica,2020-03-07,1,0
Costa Rica,2020-03-08,5,4
Costa Rica,2020-03-09,9,4
Costa Rica,2020-03-10,9,0
Costa Rica,2020-03-11,13,4
Costa Rica,2020-03-12,22,9
Costa Rica,2020-03-13,23,1
Costa Rica,2020-03-14,26,3
Costa Rica,2020-03-15,27,1
Costa Rica,2020-03-16,35,8
Costa Rica,2020-03-17,41,6
Costa Rica,2020-03-18,50,9
Costa Rica,2020-03-19,69,19
Costa Rica,2020-03-20,89,20
Costa Rica,2020-03-21,117,28
Costa Rica,2020-03-22,134,17
Costa Rica,2020-03-23,158,24
Costa Rica,2020-03-24,177,19
Costa Rica,2020-03-25,201,24
Costa Rica,2020-03-26,231,30
Costa Rica,2020-03-27,263,32
Cote d'Ivoire,2020-03-01,0,0
Cote d'Ivoire,2020-03-02,0,0
Cote d'Ivoire,2020-03-03,0,0
Cote d'Ivoire,2020-03-04,0,0
Cote d'Ivoire,2020-03-05,0,0
Cote d'Ivoire,2020-03-06,0,0
Cote d'Ivoire,2020-03-07,0,0
Cote d'Ivoire,2020-03-08,0,0
Cote d'Ivoire,2020-03-09,0,0
Cote d'Ivoire,2020-03-10,0,0
Cote d'Ivoire,2020-03-11,1,1
Cote d'Ivoire,2020-03-12,1,0
Cote d'Ivoire,2020-03-13,1,0
Cote d'Ivoire,2020-03-14,1,0
Cote d'Ivoire,2020-03-15,1,0
Cote d'Ivoire,2020-03-16,1,0
Cote d'Ivoire,2020-03-17,5,4
Cote d'Ivoire,2020-03-18,6,1
Cote d'Ivoire,2020-03-19,9,3
Cote d'Ivoire,2020-03-20,9,0
Cote d'Ivoire,2020-03-21,14,5
Cote d'Ivoire,2020-03-22,14,0
Cote d'Ivoire,2020-03-23,25,11
Cote d'Ivoire,2020-03-24,73,48
Cote d'Ivoire,2020-03-25,80,7
Cote d'Ivoire,2020-03-26,96,16
Cote d'Ivoire,2020-03-27,101,5
Croatia,2020-03-01,7,0
Croatia,2020-03-02,7,0
Croatia,2020-03-03,9,2
Croatia,2020-03-04,10,1
Croatia,2020-03-05,10,0
Croatia,2020-03-06,11,1
Croatia,2020-03-07,12,1
Croatia,2020-03-08,12,0
Croatia,2020-03-09,12,0
Croatia,2020-03-10,14,2
Croatia,2020-03-11,19,5
Croatia,2020-03-12,19,0
Croatia,2020-03-13,32,13
Croatia,2020-03-14,38,6
Croatia,2020-03-15,49,11
Croatia,2020-03-16,57,8
Croatia,2020-03-17,65,8
Croatia,2020-03-18,81,16
Croatia,2020-03-19,105,24
Croatia,2020-03-20,128,23
Croatia,2020-03-21,206,78
Croatia,2020-03-22,254,48
Croatia,2020-03-23,315,61
Croatia,2020-03-24,382,67
Croatia,2020-03-25,442,60
Croatia,2020-03-26,495,53
Croatia,2020-03-27,586,91
Cuba,2020-03-01,0,0
Cuba,2020-03-02,0,0
Cuba,2020-03-03,0,0
Cuba,2020-03-04,0,0
Cuba,2020-03-05,0,0
Cuba,2020-03-06,0,0
Cuba,2020-03-07,0,0
Cuba,2020-03-08,0,0
Cuba,2020-03-09,0,0
Cuba,2020-03-10,0,0
Cuba,2020-03-11,0,0
Cuba,2020-03-12,3,3
Cuba,2020-03-13,4,1
Cuba,2020-03-14,4,0
Cuba,2020-03-15,4,0
Cuba,2020-03-16,4,0
Cuba,2020-03-17,5,1
Cuba,2020-03-18,7,2
Cuba,2020-03-19,11,4
Cuba,2020-03-20,16,5
Cuba,2020-03-21,21,5
Cuba,2020-03-22,35,14
Cuba,2020-03-23,40,5
Cuba,2020-03-24,48,8
Cuba,2020-03-25,57,9
Cuba,2020-03-26,67,10
Cuba,2020-03-27,80,13
Cyprus,2020-03-01,0,0
Cyprus,2020-03-02,0,0
Cyprus,2020-03-03,0,0
Cyprus,2020-03-04,0,0
Cyprus,2020-03-05,0,0
Cyprus,2020-03-06,0,0
Cyprus,2020-03-07,0,0
Cyprus,2020-03-08,0,0
Cyprus,2020-03-09,2,2
Cyprus,2020-03-10,3,1
Cyprus,2020-03-11,6,3
Cyprus,2020-03-12,6,0
Cyprus,2020-03-13,14,8
Cyprus,2020-03-14,26,12
Cyprus,2020-03-15,26,0
Cyprus,2020-03-16,33,7
Cyprus,2020-03-17,46,13
Cyprus,2020-03-18,49,3
Cyprus,2020-03-19,67,18
Cyprus,2020-03-20,67,0
Cyprus,2020-03-21,84,17
Cyprus,2020-03-22,95,11
Cyprus,2020-03-23,116,21
Cyprus,2020-03-24,124,8
Cyprus,2020-03-25,132,8
Cyprus,2020-03-26,146,14
Cyprus,2020-03-27,162,16
Czechia,2020-03-01,3,0
Czechia,2020-03-02,3,0
Czechia,2020-03-03,5,2
Czechia,2020-03-04,8,3
Czechia,2020-03-05,12,4
Czechia,2020-03-06,18,6
Czechia,2020-03-07,19,1
Czechia,2020-03-08,31,12
Czechia,2020-03-09,31,0
Czechia,2020-03-10,41,10
Czechia,2020-03-11,91,50
Czechia,2020-03-12,94,3
Czechia,2020-03-13,141,47
Czechia,2020-03-14,189,48
Czechia,2020-03-15,253,64
Czechia,2020-03-16,298,45
Czechia,2020-03-17,396,98
Czechia,2020-03-18,464,68
Czechia,2020-03-19,694,230
Czechia,2020-03-20,833,139
Czechia,2020-03-21,995,162
Czechia,2020-03-22,1120,125
Czechia,2020-03-23,1236,116
Czechia,2020-03-24,1394,158
Czechia,2020-03-25,1654,260
Czechia,2020-03-26,1925,271
Czechia,2020-03-27,2279,354
Denmark,2020-03-01,4,0
Denmark,2020-03-02,4,0
Denmark,2020-03-03,6,2
Denmark,2020-03-04,11,5
Denmark,2020-03-05,11,0
Denmark,2020-03-06,24,13
Denmark,2020-03-07,24,0
Denmark,2020-03-08,37,13
Denmark,2020-03-09,92,55
Denmark,2020-03-10,264,172
Denmark,2020-03-11,444,180
Denmark,2020-03-12,617,173
Denmark,2020-03-13,804,187
Denmark,2020-03-14,836,32
Denmark,2020-03-15,875,39
Denmark,2020-03-16,933,58
Denmark,2020-03-17,1025,92
Denmark,2020-03-18,1116,91
Denmark,2020-03-19,1225,109
Denmark,2020-03-20,1337,112
Denmark,2020-03-21,1420,83
Denmark,2020-03-22,1514,94
Denmark,2020-03-23,1572,58
Denmark,2020-03-24,1718,146
Denmark,2020-03-25,1862,144
Denmark,2020-03-26,2023,161
Denmark,2020-03-27,2200,177
Diamond Princess,2020-03-01,705,0
Diamond Princess,2020-03-02,705,0
Diamond Princess,2020-03-03,706,1
Diamond Princess,2020-03-04,706,0
Diamond Princess,2020-03-05,706,0
Diamond Princess,2020-03-06,706,0
Diamond Princess,2020-03-07,706,0
Diamond Princess,2020-03-08,706,0
Diamond Princess,2020-03-09,706,0
Diamond Princess,2020-03-10,706,0
Diamond Princess,2020-03-11,706,0
Diamond Princess,2020-03-12,706,0
Diamond Princess,2020-03-13,706,0
Diamond Princess,2020-03-14,706,0
Diamond Princess,2020-03-15,706,0
Diamond Princess,2020-03-16,706,0
Diamond Princess,2020-03-17,706,0
Diamond Princess,2020-03-18,712,6
Diamond Princess,2020-03-19,712,0
Diamond Princess,2020-03-20,712,0
Diamond Princess,2020-03-21,712,0
Diamond Princess,2020-03-22,712,0
Diamond Princess,2020-03-23,712,0
Diamond Princess,2020-03-24,712,0
Diamond Princess,2020-03-25,712,0
Diamond Princess,2020-03-26,712,0
Diamond Princess,2020-03-27,712,0
Djibouti,2020-03-01,0,0
Djibouti,2020-03-02,0,0
Djibouti,2020-03-03,0,0
Djibouti,2020-03-04,0,0
Djibouti,2020-03-05,0,0
Djibouti,2020-03-06,0,0
Djibouti,2020-03-07,0,0
Djibouti,2020-03-08,0,0
Djibouti,2020-03-09,0,0
Djibouti,2020-03-10,0,0
Djibouti,2020-03-11,0,0
Djibouti,2020-03-12,0,0
Djibouti,2020-03-13,0,0
Djibouti,2020-03-14,0,0
Djibouti,2020-03-15,0,0
Djibouti,2020-03-16,0,0
Djibouti,2020-03-17,0,0
Djibouti,2020-03-18,1,1
Djibouti,2020-03-19,1,0
Djibouti,2020-03-20,1,0
Djibouti,2020-03-21,1,0
Djibouti,2020-03-22,1,0
Djibouti,2020-03-23,3,2
Djibouti,2020-03-24,3,0
Djibouti,2020-03-25,11,8
Djibouti,2020-03-26,11,0
Djibouti,2020-03-27,12,1
Dominica,2020-03-01,0,0
Dominica,2020-03-02,0,0
Dominica,2020-03-03,0,0
Dominica,2020-03-04,0,0
Dominica,2020-03-05,0,0
Dominica,2020-03-06,0,0
Dominica,2020-03-07,0,0
Dominica,2020-03-08,0,0
Dominica,2020-03-09,0,0
Dominica,2020-03-10,0,0
Dominica,2020-03-11,0,0
Dominica,2020-03-12,0,0
Dominica,2020-03-13,0,0
Dominica,2020-03-14,0,0
Dominica,2020-03-15,0,0
Dominica,2020-03-16,0,0
Dominica,2020-03-17,0,0
Dominica,2020-03-18,0,0
Dominica,2020-03-19,0,0
Dominica,2020-03-20,0,0
Dominica,2020-03-21,0,0
Dominica,2020-03-22,1,1
Dominica,2020-03-23,2,1
Dominica,2020-03-24,2,0
Dominica,2020-03-25,7,5
Dominica,2020-03-26,11,4
Dominica,2020-03-27,11,0
Dominican Republic,2020-03-01,1,0
Dominican Republic,2020-03-02,1,0
Dominican Republic,2020-03-03,1,0
Dominican Republic,2020-03-04,1,0
Dominican Republic,2020-03-05,1,0
Dominican Republic,2020-03-06,2,1
Dominican Republic,2020-03-07,2,0
Dominican Republic,2020-03-08,5,3
Dominican Republic,2020-03-09,5,0
Dominican Republic,2020-03-10,5,0
Dominican Republic,2020-03-11,5,0
Dominican Republic,2020-03-12,5,0
Dominican Republic,2020-03-13,5,0
Dominican Republic,2020-03-14,11,6
Dominican Republic,2020-03-15,11,0
Dominican Republic,2020-03-16,11,0
Dominican Republic,2020-03-17,21,10
Dominican Republic,2020-03-18,21,0
Dominican Republic,2020-03-19,34,13
Dominican Republic,2020-03-20,72,38
Dominican Republic,2020-03-21,112,40
Dominican Republic,2020-03-22,202,90
Dominican Republic,2020-03-23,245,43
Dominican Republic,2020-03-24,312,67
Dominican Republic,2020-03-25,392,80
Dominican Republic,2020-03-26,488,96
Dominican Republic,2020-03-27,581,93
Ecuador,2020-03-01,6,0
Ecuador,2020-03-02,6,0
Ecuador,2020-03-03,7,1
Ecuador,2020-03-04,10,3
Ecuador,2020-03-05,13,3
Ecuador,2020-03-06,13,0
Ecuador,2020-03-07,13,0
Ecuador,2020-03-08,14,1
Ecuador,2020-03-09,15,1
Ecuador,2020-03-10,15,0
Ecuador,2020-03-11,17,2
Ecuador,2020-03-12,17,0
Ecuador,2020-03-13,17,0
Ecuador,2020-03-14,28,11
Ecuador,2020-03-15,28,0
Ecuador,2020-03-16,37,9
Ecuador,2020-03-17,58,21
Ecuador,2020-03-18,111,53
Ecuador,2020-03-19,199,88
Ecuador,2020-03-20,367,168
Ecuador,2020-03-21,506,139
Ecuador,2020-03-22,789,283
Ecuador,2020-03-23,981,192
Ecuador,2020-03-24,1082,101
Ecuador,2020-03-25,1173,91
Ecuador,2020-03-26,1403,230
Ecuador,2020-03-27,1595,192
Egypt,2020-03-01,2,0
Egypt,2020-03-02,2,0
Egypt,2020-03-03,2,0
Egypt,2020-03-04,2,0
Egypt,2020-03-05,3,1
Egypt,2020-03-06,15,12
Egypt,2020-03-07,15,0
Egypt,2020-03-08,49,34
Egypt,2020-03-09,55,6
Egypt,2020-03-10,59,4
Egypt,2020-03-11,60,1
Egypt,2020-03-12,67,7
Egypt,2020-03-13,80,13
Egypt,2020-03-14,109,29
Egypt,2020-03-15,110,1
Egypt,2020-03-16,150,40
Egypt,2020-03-17,196,46
Egypt,2020-03-18,196,0
Egypt,2020-03-19,256,60
Egypt,2020-03-20,285,29
Egypt,2020-03-21,294,9
Egypt,2020-03-22,327,33
Egypt,2020-03-23,366,39
Egypt,2020-03-24,402,36
Egypt,2020-03-25,456,54
Egypt,2020-03-26,495,39
Egypt,2020-03-27,536,41
El Salvador,2020-03-01,0,0
El Salvador,2020-03-02,0,0
El Salvador,2020-03-03,0,0
El Salvador,2020-03-04,0,0
El Salvador,2020-03-05,0,0
El Salvador,2020-03-06,0,0
El Salvador,2020-03-07,0,0
El Salvador,2020-03-08,0,0
El Salvador,2020-03-09,0,0
El Salvador,2020-03-10,0,0
El Salvador,2020-03-11,0,0
El Salvador,2020-03-12,0,0
El Salvador,2020-03-13,0,0
El Salvador,2020-03-14,0,0
El Salvador,2020-03-15,0,0
El Salvador,2020-03-16,0,0
El Salvador,2020-03-17,0,0
El Salvador,2020-03-18,0,0
El Salvador,2020-03-19,1,1
El Salvador,2020-03-20,1,0
El Salvador,2020-03-21,3,2
El Salvador,2020-03-22,3,0
El Salvador,2020-03-23,3,0
El Salvador,2020-03-24,5,2
El Salvador,2020-03-25,9,4
El Salvador,2020-03-26,13,4
El Salvador,2020-03-27,13,0
Equatorial Guinea,2020-03-01,0,0
Equatorial Guinea,2020-03-02,0,0
Equatorial Guinea,2020-03-03,0,0
Equatorial Guinea,2020-03-04,0,0
Equatorial Guinea,2020-03-05,0,0
Equatorial Guinea,2020-03-06,0,0
Equatorial Guinea,2020-03-07,0,0
Equatorial Guinea,2020-03-08,0,0
Equatorial Guinea,2020-03-09,0,0
Equatorial Guinea,2020-03-10,0,0
Equatorial Guinea,2020-03-11,0,0
Equatorial Guinea,2020-03-12,0,0
Equatorial Guinea,2020-03-13,0,0
Equatorial Guinea,2020-03-14,0,0
Equatorial Guinea,2020-03-15,1,1
Equatorial Guinea,2020-03-16,1,0
Equatorial Guinea,2020-03-17,1,0
Equatorial Guinea,2020-03-18,4,3
Equatorial Guinea,2020-03-19,6,2
Equatorial Guinea,2020-03-20,6,0
Equatorial Guinea,2020-03-21,6,0
Equatorial Guinea,2020-03-22,6,0
Equatorial Guinea,2020-03-23,9,3
Equatorial Guinea,2020-03-24,9,0
Equatorial Guinea,2020-03-25,9,0
Equatorial Guinea,2020-03-26,12,3
Equatorial Guinea,2020-03-27,12,0
Eritrea,2020-03-01,0,0
Eritrea,2020-03-02,0,0
Eritrea,2020-03-03,0,0
Eritrea,2020-03-04,0,0
Eritrea,2020-03-05,0,0
Eritrea,2020-03-06,0,0
Eritrea,2020-03-07,0,0
Eritrea,2020-03-08,0,0
Eritrea,2020-03-09,0,0
Eritrea,2020-03-10,0,0
Eritrea,2020-03-11,0,0
Eritrea,2020-03-12,0,0
Eritrea,2020-03-13,0,0
Eritrea,2020-03-14,0,0
Eritrea,2020-03-15,0,0
Eritrea,2020-03-16,0,0
Eritrea,2020-03-17,0,0
Eritrea,2020-03-18,0,0
Eritrea,2020-03-19,0,0
Eritrea,2020-03-20,0,0
Eritrea,2020-03-21,1,1
Eritrea,2020-03-22,1,0
Eritrea,2020-03-23,1,0
Eritrea,2020-03-24,1,0
Eritrea,2020-03-25,4,3
Eritrea,2020-03-26,6,2
Eritrea,2020-03-27,6,0
Estonia,2020-03-01,1,0
Estonia,2020-03-02,1,0
Estonia,2020-03-03,2,1
Estonia,2020-03-04,2,0
Estonia,2020-03-05,3,1
Estonia,2020-03-06,10,7
Estonia,2020-03-07,10,0
Estonia,2020-03-08,10,0
Estonia,2020-03-09,10,0
Estonia,2020-03-10,12,2
Estonia,2020-03-11,16,4
Estonia,2020-03-12,16,0
Estonia,2020-03-13,79,63
Estonia,2020-03-14,115,36
Estonia,2020-03-15,171,56
Estonia,2020-03-16,205,34
Estonia,2020-03-17,225,20
Estonia,2020-03-18,258,33
Estonia,2020-03-19,267,9
Estonia,2020-03-20,283,16
Estonia,2020-03-21,306,23
Estonia,2020-03-22,326,20
Estonia,2020-03-23,352,26
Estonia,2020-03-24,369,17
Estonia,2020-03-25,404,35
Estonia,2020-03-26,538,134
Estonia,2020-03-27,575,37
Eswatini,2020-03-01,0,0
Eswatini,2020-03-02,0,0
Eswatini,2020-03-03,0,0
Eswatini,2020-03-04,0,0
Eswatini,2020-03-05,0,0
Eswatini,2020-03-06,0,0
Eswatini,2020-03-07,0,0
Eswatini,2020-03-08,0,0
Eswatini,2020-03-09,0,0
Eswatini,2020-03-10,0,0
Eswatini,2020-03-11,0,0
Eswatini,2020-03-12,0,0
Eswatini,2020-03-13,0,0
Eswatini,2020-03-14,1,1
Eswatini,2020-03-15,1,0
Eswatini,2020-03-16,1,0
Eswatini,2020-03-17,1,0
Eswatini,2020-03-18,1,0
Eswatini,2020-03-19,1,0
Eswatini,2020-03-20,1,0
Eswatini,2020-03-21,1,0
Eswatini,2020-03-22,4,3
Eswatini,2020-03-23,4,0
Eswatini,2020-03-24,4,0
Eswatini,2020-03-25,4,0
Eswatini,2020-03-26,6,2
Eswatini,2020-03-27,9,3
Ethiopia,2020-03-01,0,0
Ethiopia,2020-03-02,0,0
Ethiopia,2020-03-03,0,0
Ethiopia,2020-03-04,0,0
Ethiopia,2020-03-05,0,0
Ethiopia,2020-03-06,0,0
Ethiopia,2020-03-07,0,0
Ethiopia,2020-03-08,0,0
Ethiopia,2020-03-09,0,0
Ethiopia,2020-03-10,0,0
Ethiopia,2020-03-11,0,0
Ethiopia,2020-03-12,0,0
Ethiopia,2020-03-13,1,1
Ethiopia,2020-03-14,1,0
Ethiopia,2020-03-15,1,0
Ethiopia,2020-03-16,5,4
Ethiopia,2020-03-17,5,0
Ethiopia,2020-03-18,6,1
Ethiopia,2020-03-19,6,0
Ethiopia,2020-03-20,9,3
Ethiopia,2020-03-21,9,0
Ethiopia,2020-03-22,11,2
Ethiopia,2020-03-23,11,0
Ethiopia,2020-03-24,12,1
Ethiopia,2020-03-25,12,0
Ethiopia,2020-03-26,12,0
Ethiopia,2020-03-27,16,4
Fiji,2020-03-01,0,0
Fiji,2020-03-02,0,0
Fiji,2020-03-03,0,0
Fiji,2020-03-04,0,0
Fiji,2020-03-05,0,0
Fiji,2020-03-06,0,0
Fiji,2020-03-07,0,0
Fiji,2020-03-08,0,0
Fiji,2020-03-09,0,0
Fiji,2020-03-10,0,0
Fiji,2020-03-11,0,0
Fiji,2020-03-12,0,0
Fiji,2020-03-13,0,0
Fiji,2020-03-14,0,0
Fiji,2020-03-15,0,0
Fiji,2020-03-16,0,0
Fiji,2020-03-17,0,0
Fiji,2020-03-18,0,0
Fiji,2020-03-19,1,1
Fiji,2020-03-20,1,0
Fiji,2020-03-21,1,0
Fiji,2020-03-22,2,1
Fiji,2020-03-23,3,1
Fiji,2020-03-24,4,1
Fiji,2020-03-25,5,1
Fiji,2020-03-26,5,0
Fiji,2020-03-27,5,0
Finland,2020-03-01,6,0
Finland,2020-03-02,6,0
Finland,2020-03-03,6,0
Finland,2020-03-04,6,0
Finland,2020-03-05,12,6
Finland,2020-03-06,15,3
Finland,2020-03-07,15,0
Finland,2020-03-08,23,8
Finland,2020-03-09,30,7
Finland,2020-03-10,40,10
Finland,2020-03-11,59,19
Finland,2020-03-12,59,0
Finland,2020-03-13,155,96
Finland,2020-03-14,225,70
Finland,2020-03-15,244,19
Finland,2020-03-16,277,33
Finland,2020-03-17,321,44
Finland,2020-03-18,336,15
Finland,2020-03-19,400,64
Finland,2020-03-20,450,50
Finland,2020-03-21,523,73
Finland,2020-03-22,626,103
Finland,2020-03-23,700,74
Finland,2020-03-24,792,92
Finland,2020-03-25,880,88
Finland,2020-03-26,958,78
Finland,2020-03-27,1041,83
France,2020-03-01,130,0
France,2020-03-02,191,61
France,2020-03-03,204,13
France,2020-03-04,288,84
France,2020-03-05,380,92
France,2020-03-06,656,276
France,2020-03-07,959,303
France,2020-03-08,1136,177
France,2020-03-09,1219,83
France,2020-03-10,1794,575
France,2020-03-11,2293,499
France,2020-03-12,2293,0
France,2020-03-13,3681,1388
France,2020-03-14,4496,815
France,2020-03-15,4532,36
France,2020-03-16,6683,2151
France,2020-03-17,7715,1032
France,2020-03-18,9124,1409
France,2020-03-19,10970,1846
France,2020-03-20,12758,1788
France,2020-03-21,14463,1705
France,2020-03-22,16243,1780
France,2020-03-23,20123,3880
France,2020-03-24,22622,2499
France,2020-03-25,25600,2978
France,2020-03-26,29551,3951
France,2020-03-27,33402,3851
Gabon,2020-03-01,0,0
Gabon,2020-03-02,0,0
Gabon,2020-03-03,0,0
Gabon,2020-03-04,0,0
Gabon,2020-03-05,0,0
Gabon,2020-03-06,0,0
Gabon,2020-03-07,0,0
Gabon,2020-03-08,0,0
Gabon,2020-03-09,0,0
Gabon,2020-03-10,0,0
Gabon,2020-03-11,0,0
Gabon,2020-03-12,0,0
Gabon,2020-03-13,0,0
Gabon,2020-03-14,1,1
Gabon,2020-03-15,1,0
Gabon,2020-03-16,1,0
Gabon,2020-03-17,1,0
